source_record_id,transaction_date,product_code,territory_code,hospital_code,sales_representative_code,quantity,revenue_amount,currency_code
DEMO-SALE-000001,2026-01-05,DEMO-PROD-001,DEMO-TER-001,DEMO-HOS-001,DEMO-REP-001,10,1250.0000,INR
DEMO-SALE-000002,2026-01-06,DEMO-PROD-001,DEMO-TER-001,DEMO-HOS-001,DEMO-REP-001,4.500,562.5000,INR
DEMO-SALE-000003,2026-01-07,DEMO-PROD-001,DEMO-TER-001,,DEMO-REP-001,2,0.0000,INR
DEMO-SALE-000004,2026-01-08,DEMO-PROD-001,DEMO-TER-001,DEMO-HOS-001,DEMO-REP-001,-1,-125.0000,INR
DEMO-SALE-000005,2026-01-09,DEMO-PROD-001,DEMO-TER-001,DEMO-HOS-001,,8,1000.0000,INR
DEMO-SALE-000006,2026-01-10,DEMO-PROD-001,DEMO-TER-001,,,6,750.0000,INR
DEMO-SALE-000007,2026-01-11,DEMO-PROD-001,DEMO-TER-001,DEMO-HOS-001,DEMO-REP-001,3.250,406.2500,INR
DEMO-SALE-000008,2026-01-12,DEMO-PROD-001,DEMO-TER-001,DEMO-HOS-001,DEMO-REP-001,12,1500.0000,INR
DEMO-SALE-000009,2026-01-13,DEMO-PROD-001,DEMO-TER-001,DEMO-HOS-001,DEMO-REP-001,-2.500,-312.5000,INR
DEMO-SALE-000010,2026-01-14,DEMO-PROD-001,DEMO-TER-001,DEMO-HOS-001,DEMO-REP-001,5,625.0000,INR
